Date,Open,High,Low,Close,Volume,Change_%,Trend,Range,Range_%,Gap,Gap_%,RSI_14,MACD,MACD_Signal,MACD_Hist,ROC_10,ATR_14,BB_Mid,BB_Upper,BB_Lower,BB_Width,BB_%B,Volatility_20,OBV,Volume_MA20,Volume_Ratio,VWAP_Cumulative,Lag_1,Lag_2,Lag_3,Lag_5,Return_1,Return_3,Return_5,Rolling_High_10,Rolling_Low_10,Rolling_High_20,Rolling_Low_20,Pct_From_High_20,Pct_From_Low_20
07-02-2025,23649.5,23694.5,23443.19922,23559.94922,368100,-0.1839,Negative,251.3,1.07,46.15,0.2,52.2428,-14.0413,-98.6311,84.5898,3.2012,260.87,23293.8,23769.81,22817.79,0.0409,0.7796,11.5844,71823900,299185,1.2303,13117.21,23603.35,23696.3,23739.25,23482.15,-0.1839,-0.7553,0.3313,23807.3,22857.65,23807.3,22786.9,-1.039,3.3925
06-02-2025,23761.94922,23773.55078,23556.25,23603.34961,307000,-0.3923,Negative,217.3,0.92,65.65,0.28,53.3981,-25.7628,-119.7785,94.0157,2.2135,261.61,23270.1,23737.87,22802.33,0.0402,0.8562,12.8612,72192000,296605,1.035,13112.83,23696.3,23739.25,23361.05,23508.4,-0.3923,1.0372,0.4039,23807.3,22786.9,23807.3,22786.9,-0.8567,3.583
05-02-2025,23801.75,23807.30078,23680.44922,23696.30078,267000,-0.1809,Negative,126.85,0.54,62.5,0.26,55.8544,-44.7679,-143.2825,98.5146,2.1157,265.02,23261.51,23710.41,22812.6,0.0386,0.9843,12.8664,72499000,294305,0.9072,13109.14,23739.25,23361.05,23482.15,23249.5,-0.1809,0.912,1.9218,23807.3,22786.9,23807.3,22786.9,-0.4662,3.9909
04-02-2025,23509.90039,23762.75,23423.15039,23739.25,376700,1.6189,Positive,339.6,1.45,148.85,0.64,56.979,-77.8383,-167.9111,90.0728,2.5217,275.65,23253.02,23674.28,22831.76,0.0362,1.0771,13.1035,72766000,294415,1.2795,13105.91,23361.05,23482.15,23508.4,23163.1,1.6189,0.982,2.4874,23762.75,22786.9,23762.75,22786.9,-0.0989,4.1794
03-02-2025,23319.34961,23381.59961,23222.0,23361.05078,329700,-0.5157,Negative,159.6,0.69,-162.8,-0.69,48.5005,-123.2889,-190.4293,67.1404,1.461,265.95,23250.5,23660.57,22840.43,0.0353,0.6348,11.6692,72389300,288900,1.1412,13101.39,23482.15,23508.4,23249.5,22957.25,-0.5157,0.4798,1.7589,23632.45,22786.9,23751.85,22786.9,-1.6453,2.5197
01-02-2025,23528.59961,23632.44922,23318.30078,23482.15039,281000,-0.1117,Negative,314.15,1.35,20.2,0.09,51.5194,-140.9996,-207.2144,66.2148,0.5886,266.4,23267.84,23722.11,22813.58,0.039,0.7359,11.6554,72719000,285530,0.9841,13097.54,23508.4,23249.5,23163.1,22829.15,-0.1117,1.3774,2.8604,23632.45,22786.9,23795.2,22786.9,-1.3156,3.0511
31-01-2025,23296.75,23546.80078,23277.40039,23508.40039,304900,1.1136,Positive,269.4,1.16,47.25,0.2,52.1731,-173.8841,-223.7681,49.884,1.3153,262.72,23274.54,23744.9,22804.18,0.0404,0.7486,12.975,73000000,285385,1.0684,13094.21,23249.5,23163.1,22957.25,23092.2,1.1136,2.4008,1.8023,23546.8,22786.9,24089.95,22786.9,-2.4141,3.1663
30-01-2025,23169.5,23322.05078,23139.19922,23249.5,361900,0.373,Positive,182.85,0.79,6.4,0.03,45.8851,-216.0002,-236.2391,20.2389,-0.2672,260.06,23299.36,23860.14,22738.57,0.0481,0.4555,12.3412,72695100,285755,1.2665,13090.61,23163.1,22957.25,22829.15,23205.35,0.373,1.8413,0.1903,23426.3,22786.9,24196.45,22786.9,-3.9136,2.0301
29-01-2025,23026.75,23183.34961,22976.5,23163.09961,226300,0.8967,Positive,206.85,0.9,69.5,0.3,43.5867,-240.253,-241.2988,1.0458,-0.2158,266.0,23346.31,24027.0,22665.63,0.0583,0.3654,14.2372,72333200,281820,0.803,13086.42,22957.25,22829.15,23092.2,23155.35,0.8967,0.307,0.0335,23426.3,22786.9,24226.7,22786.9,-4.3902,1.6509
28-01-2025,22960.44922,23137.94922,22857.65039,22957.25,361900,0.5611,Positive,280.3,1.23,131.3,0.58,37.7363,-258.9168,-241.5603,-17.3565,-0.9441,269.07,23375.3,24071.52,22679.09,0.0596,0.1998,13.881,72106900,278250,1.3006,13083.83,22829.15,23092.2,23205.35,23024.65,0.5611,-1.0691,-0.2927,23426.3,22786.9,24226.7,22786.9,-5.2399,0.7476
